FFT Spectrogram,aEEG,Spike Detections (count per 10 sec),Spike Detections (count per sec),Suppression Ratio,aEEG+ (0.16 - 25Hz)
0.280453925,0.9395787,0.0,0.0,88.1559,10.728338
0.280453925,0.8203640999999999,0.0,0.0,88.1559,10.68673
0.280453925,1.1320809,0.0,0.0,88.1559,8.181437
0.280453925,1.0181042,0.0,0.0,88.1559,7.995091
0.280453925,0.6837419,0.0,0.0,88.1559,7.193863
0.280453925,0.5912608,0.0,0.0,88.1559,6.9023520000000005
0.280453925,0.9305119999999999,0.0,0.0,88.1559,7.544214
0.2724915875,1.3288576,0.0,0.0,88.1559,7.626843000000001
0.2724915875,1.0865944,0.0,0.0,88.1559,5.946827000000001
0.2724915875,0.8783384000000001,0.0,0.0,88.91195,5.674209
0.2724915875,0.7065051999999999,0.0,0.0,88.91195,4.567728000000001
0.2724915875,0.850001,0.0,0.0,88.91195,5.101208
0.2724915875,1.1755718000000002,0.0,0.0,88.91195,6.6790709999999995
0.2724915875,0.880878,0.0,0.0,88.91195,6.809279000000001
0.2724915875,0.6267948999999999,0.0,0.0,88.91195,7.881509
0.264505525,0.7850146,0.0,0.0,88.91195,6.153022
0.264505525,0.7723098,0.0,0.0,88.91195,5.371138
0.264505525,0.8169525,0.0,0.0,88.91195,6.906288
0.264505525,0.9413127,0.0,0.0,88.91195,8.091085
0.264505525,0.8915609,0.0,0.0,88.96809999999999,8.315947000000001
0.264505525,0.8343417,0.0,0.0,88.96809999999999,6.637732
0.264505525,1.0537128,0.0,0.0,88.96809999999999,7.872609
0.264505525,0.7513829999999999,0.0,0.0,88.96809999999999,9.394285
0.2651986875,0.655259,0.0,0.0,88.96809999999999,8.20721
0.2651986875,0.7940943,0.0,0.0,88.96809999999999,7.329225999999999
0.2651986875,0.9702208000000001,0.0,0.0,88.96809999999999,6.997705000000001
0.2651986875,0.9528783,0.0,0.0,88.96809999999999,5.21778
0.2651986875,1.0681835999999998,0.0,0.0,88.96809999999999,6.212415
0.2651986875,0.9831831000000001,0.0,0.0,88.96809999999999,7.182108
0.2651986875,0.8760668,0.0,0.0,87.6945,10.459641
0.2651986875,0.7799321,0.0,0.0,87.6945,10.718014
0.2651834125,0.627949,0.0,0.0,87.6945,10.977425
0.2651834125,0.5775057000000001,0.0,0.0,87.6945,10.274394
0.2651834125,0.7814476,0.0,0.0,87.6945,9.844015
0.2651834125,0.9163048999999999,0.0,0.0,87.6945,10.528838
0.2651834125,1.0243601,0.0,0.0,87.6945,8.438279
0.2651834125,0.8934854999999999,0.0,0.0,87.6945,8.000007
0.2651834125,0.8002241,0.0,0.0,87.6945,6.898263
0.2651834125,0.8523207,0.0,0.0,87.6945,7.860087999999999
0.26299418750000003,0.7802895,0.0,0.0,87.7482,8.580143
0.26299418750000003,0.7123484,0.0,0.0,87.7482,8.803004999999999
0.26299418750000003,0.8483877,0.0,0.0,87.7482,7.944737
0.26299418750000003,0.7446887,0.0,0.0,87.7482,7.653707
0.26299418750000003,0.7887419999999999,0.0,0.0,87.7482,7.7089110000000005
0.26299418750000003,0.8871724000000001,0.0,0.0,87.7482,7.907358
0.26299418750000003,1.0353953,0.0,0.0,87.7482,8.194226
0.26299418750000003,0.9986252,0.0,0.0,87.7482,7.135321999999999
0.2908482875,0.9249719000000001,0.0,0.0,87.7482,7.598492
0.2908482875,1.1745363000000002,0.0,0.0,87.7482,10.551487
0.2908482875,0.9756794,0.5,0.0,85.10390000000001,11.382186
0.2908482875,0.795865,0.5,0.0,85.10390000000001,11.557801999999999
0.2908482875,1.1510628999999999,0.5,0.0,85.10390000000001,10.592662
